,S_0,S_1,E_0,E_1,Ia_0,Ia_1,Is_0,Is_1,H_0,H_1,U_0,U_1,R_0,R_1,D_0,D_1,Nw_0,Nw_1
42,0.9626548845861069,0.9836252730951998,0.0057953550739728195,0.002354598027585285,0.0036651287429566547,0.0005799064206040811,0.0009399436184277423,0.0014032165065148527,2.6825070737170182e-05,0.00028322089970830817,1.6643576236833755e-05,0.00031085149926630523,0.026880465683358716,0.011155604004710364,2.07536482033746e-05,0.0002873295464113476,0.005744341269101649,0.00888872447039665
43,0.9609719779841317,0.9829395054765706,0.006003519553216629,0.002440973848638994,0.0037996804247741535,0.0006013623624056649,0.0009745330351933482,0.0014551540649243003,2.78504641050117e-05,0.0002939054852696141,1.732864598743428e-05,0.00032338837147531186,0.028183216273711273,0.011642476545815246,2.189361888059348e-05,0.0003032338449006003,0.00601822001159038,0.009297923840735097
44,0.9592305687831063,0.9822290335539262,0.006217429590530482,0.002530116234579582,0.003938186051532187,0.0006235458457897529,0.00101014553442792,0.0015088639323439597,2.8907827936663526e-05,0.00030497440337612857,1.8034999582068343e-05,0.00033634475914037266,0.02953364946012458,0.012147364940723314,2.3077752759847785e-05,0.00031975633012108957,0.006301896420951407,0.009722099907575405
45,0.9574292007870084,0.98149312401219,0.0064370997365819265,0.0026220584157710526,0.004080679576681298,0.0006464680078554056,0.0010467905906288396,0.0015643740731177665,2.9997712681704156e-05,0.0003164369376796899,1.8763229739803465e-05,0.0003497355087084649,0.03093316093538435,0.012670884320294064,2.430743129370093e-05,0.0003369187243839392,0.006595638229428094,0.010161730612432066
46,0.9555664169187067,0.9807310460555803,0.006662548509844328,0.00271683455762677,0.004227197013915557,0.0006701401262445549,0.0010844781971946227,0.0016217128085273275,3.112067980997357e-05,0.0003283024343173326,1.951393311923639e-05,0.00036357548579664736,0.03238314072197781,0.013213646012542917,2.5584025431808214e-05,0.00035474251936460033,0.006899712596024139,0.010617291538570156
47,0.9536407857590432,0.9799420562834997,0.006893761570042541,0.002814470342874962,0.004377756139172733,0.0006945719635453976,0.001123213773537248,0.0016809048277483406,3.227719486261221e-05,0.00034057973112169246,2.028766915005555e-05,0.00037787932932800813,0.033885008919122495,0.013776286696675261,2.6908975069220238e-05,0.0003732508252070821,0.0072143880170206145,0.011089272665501028
48,0.95165088738743,0.9791254153738,0.007130722552506601,0.0029149905397673754,0.00453237363509655,0.0007197730702746979,0.0011630024546628538,0.0017419743314231622,3.346771460354301e-05,0.00035327761748999304,2.1084992767488914e-05,0.00039266162390837596,0.035440177549324985,0.014359440768828387,2.8283713608124513e-05,0.0003924666745084069,0.00753993122922133,0.011578161812720535
49,0.9495953232714146,0.9782803780658251,0.00737339365219083,0.0030184141981954905,0.0046910543203738456,0.0007457519545430702,0.0012038463947647063,0.0018049430291255794,3.469263184981131e-05,0.0003664045423470915,2.1906433577892858e-05,0.0004079367869912066,0.03705007358145081,0.014963757350503116,2.9709714377548256e-05,0.0004124140724697227,0.007876608979131788,0.012084454757763246
50,0.9474727272814996,0.9774062029921821,0.0076217210261069835,0.0031247554463342602,0.004853794819871166,0.0007725161875298204,0.0012457456574767154,0.0018698304040809391,3.595228658346261e-05,0.0003799686479974965,2.2752498094120035e-05,0.00042371903017435116,0.038716117968273296,0.015589889839290067,3.118846209480187e-05,0.0004331174524114209,0.008224684974062467,0.01260864798027954
51,0.9452817661134418,0.9765021510339281,0.007875632433015351,0.003234022936891723,0.005020582159342449,0.0008000723060568764,0.0012886978669999886,0.0019366534794210833,3.724695950872543e-05,0.000393977739474762,2.3623667450844435e-05,0.00044002235074318865,0.040439729340781924,0.016238498335183267,3.27214594590069e-05,0.0004546018183014809,0.008584420242042156,0.013151240162974963
