,S_0,S_1,E_0,E_1,Ia_0,Ia_1,Is_0,Is_1,H_0,H_1,U_0,U_1,R_0,R_1,D_0,D_1,Nw_0,Nw_1
44,0.9926948150443693,0.997554118726201,0.0014447283127107498,0.00043625790153026863,0.0008529320887188816,6.28297520914079e-05,0.00024042425293174615,0.00029196494897734085,1.3664525297205366e-05,9.393140478325743e-05,3.054117770784849e-06,5.114104412243572e-05,0.004747639239734669,0.0014659189584801528,2.7424184662986554e-06,4.383726381383767e-05,0.001197629920418542,0.0015308900068223257
45,0.9922472688986372,0.9974193918466325,0.0015215651812421054,0.00045909012569105625,0.000898787639754114,6.612117876492823e-05,0.00025337152088732693,0.0003072624486929457,1.44507110353299e-05,9.902806345709803e-05,3.2362944317300633e-06,5.3984979382996947e-05,0.005058378408484053,0.0015482627646878071,2.941345527816837e-06,4.68585926903715e-05,0.0012722890140797818,0.0016210754598279334
46,0.9917761947103739,0.9972776274516584,0.001602243229493578,0.0004831047322150517,0.0009469391804383222,6.958399011712621e-05,0.00026696666293822416,0.00032335630473296576,1.527596829317647e-05,0.0001043832792689143,3.4275848755411083e-06,5.697188992129532e-05,0.00538580089057914,0.0016349271575459249,3.1517730077548432e-06,5.004519454013068e-05,0.001350912948722616,0.0017159800642882854
47,0.9912804162689474,0.9971284613398889,0.0016869559005459288,0.0005083632741952036,0.0009974992753101278,7.322668178521346e-05,0.0002812416241986391,0.0003402862668727422,1.6142275553800845e-05,0.00011001087250949305,3.6284424929340616e-06,6.01093916720625e-05,0.005730741939798333,0.001726136746433853,3.374273152539528e-06,5.340542664237991e-05,0.0014336996490799314,0.0018158477502967208
48,0.990758701250643,0.9969715112834908,0.0017759028196516742,0.0005349293244750946,0.001050587000686473,7.705834732619029e-05,0.00029623012831065445,0.0003580947428345548,1.705170593136387e-05,0.00011592529654400457,3.83934356981275e-06,6.340546714390427e-05,0.006094078303840838,0.001822127440961754,3.6094473657332284e-06,5.694809722350293e-05,0.0015208570957336279,0.001920935349106574
49,0.9902097586268338,0.9968063759398114,0.0018692895198082105,0.0005628687215189721,0.0011063288809259441,8.108869831545308e-05,0.0003119678936509435,0.0003768268405391283,1.8006428913975426e-05,0.00012214168278417052,4.060788123086888e-06,6.68684890919038e-05,0.006476729933780651,0.001923147137022145,3.857927963035828e-06,6.068249091668864e-05,0.0016126039023653456,0.002031513272178757
50,0.989632237448345,0.9966326344104021,0.0019673316663449143,0.0005922508812043842,0.0011648556307780793,8.53278037908595e-05,0.0003284918913709249,0.0003965294228571187,1.9008717998451806e-05,0.0001286758960802208,4.293300473098075e-06,7.050723897945784e-05,0.006879660967192549,0.0020294559880034103,4.1203774966127285e-06,6.461835868224078e-05,0.0017091687097675686,0.00214786480931615
51,0.9890247176300657,0.9964498430404425,0.0020702547321205726,0.000623148782471205,0.0012263041207162245,8.978626926736998e-05,0.000345840839402942,0.00041725184399665674,2.006096407808698e-05,0.00013554463868814336,4.5374329341329725e-06,7.43309699521871e-05,0.007303886786284942,0.0021413284496646042,4.39749439703167e-06,6.876600551717894e-05,0.0018107921071931548,0.0022702887198482666
52,0.9883857200069532,0.9962575387414173,0.002178292626155038,0.0006556384629295723,0.0012908164464016114,9.447515546078816e-05,0.0003640549406633417,0.00043904557473642544,2.116565846775001e-05,0.0001427653283491299,4.7937617459775135e-06,7.834933805580417e-05,0.007750466551899329,0.002259051189833427,4.690007713342329e-06,7.313620921736277e-05,0.0019177248833106247,0.0023990969611342133
53,0.9877136928324218,0.9960552341427124,0.002291689011272064,0.0006897996951767316,0.0013585413113612725,9.940609694367004e-05,0.00038317626230284155,0.00046196474796047577,2.2325414769376756e-05,0.0001503562784418764,5.0628924701332335e-06,8.257250324823209e-05,0.008220513590529957,0.0023829261933805694,4.998684872143285e-06,7.774034213587262e-05,0.0020302304799977846,0.0025346180512043947
54,0.9870070073734091,0.9958424161621616,0.002410697949160685,0.0007257162115709634,0.0014296344193232022,0.000104591336344188,0.00040324884705794206,0.000486066317018015,2.3542976380931905e-05,0.00015833675038611167,5.345461776513623e-06,8.7011158975228e-05,0.008715198638960971,0.002513271657689893,5.3243339302880565e-06,8.259040585379947e-05,0.002148585749562171,0.00267719803971395
55,0.9862639610060525,0.9956185466902892,0.002535583643291416,0.0007634756522813885,0.0015042577343747806,0.00011004368472590428,0.00042431852020864816,0.0005114098900346312,2.4821211233653824e-05,0.00016672693261954465,5.642136212301492e-06,9.167651928723734e-05,0.00923574794615352,0.0026504216144173755,5.667802472799964e-06,8.76990163445739e-05,0.0022730803830619093,0.0028271999983247296
56,0.9854827788692004,0.9953830628959432,0.0026666199671082163,0.0008031694831535207,0.0015825793344907517,0.00011577651375481644,0.00044643284424635314,0.0005380576925830488,2.6163108467534857e-05,0.00017554793054066491,5.953611507814567e-06,9.658031289567682e-05,0.009783442287787058,0.002794725772446379,6.029977191476464e-06,9.30793986824991e-05,0.0024040166723163442,0.0029850038405681203
