exposed_mean,exposed_lb,exposed_ub
521071.9080769732,345592.77391902206,696297.4055460682
534056.5766251979,362765.8927619742,709936.6854356481
546283.7173337518,380178.63762796274,722089.9122515426
557669.9546021299,397729.66641299834,732638.6745723087
568136.3233688996,415307.9773427417,741476.1035782486
577609.4609742588,432794.0815738962,748508.8219531167
586022.7097565514,450061.74738663837,753658.8260420924
593317.1088688227,466954.0094152481,756865.118942216
599442.2591796995,483221.74528315454,758084.7932371256
604357.0779402092,498878.53487694287,757294.0870916819
608030.3911193709,513794.28334773483,754489.030500081
610441.3237028486,527495.2152355994,749729.9104667786
611579.5179675643,539978.4934822357,743013.0613540148
611445.1745076546,551685.8814926709,734389.7205798202
610048.926002299,559399.8867657507,723932.4011470259
607411.4963660311,564640.4265446753,711730.4668600048
603563.229512674,567147.9402763357,697888.3920028589
598543.4397093208,568451.0273022654,682524.0459374229
592399.6801629282,567189.884536085,665766.6583717277
585186.8862869005,562460.2498737609,647754.6148860776
576966.4260179762,556011.6946593852,634471.4759155684
567805.1180997967,547596.7463039326,623195.6824101787
557774.2016899753,537953.7366769462,618176.9695450334
546948.3148967223,526716.0743328637,610436.7188658454
535404.4818366077,512841.6158980152,600578.4649766223
523221.1272368983,498530.86654110183,590703.1479101224
510477.1401046164,481894.82180767175,584632.8625055756
497251.01328082517,464624.8121513302,577370.5337484148
483620.0583701283,446252.4296954409,568999.1211415605
469659.6781069658,427804.71095412876,559606.7195821286
455442.74879723263,407369.7399387419,549285.0604544375
441039.0986635474,386401.84961483115,538128.0628652635
426515.06587761047,366489.3396869069,526230.417958333
411933.12352678203,346379.25161445834,513686.43628468853
397351.63276799227,325548.6118985155,500589.03586025216
382824.65224370634,305887.9673550122,487028.79732661485
368401.8285656113,285140.54886555125,473093.00697713206
354128.3329717544,266625.8671209839,458865.0818834388
340044.88010172854,248992.89096788253,444424.0145939918
326187.8006871346,232269.65386960417,429844.1103107675
312589.14964966045,216328.1396092102,415194.4786754289
299276.8545682696,201171.625123408,400538.9435695878
286274.88519582356,186797.28949252336,385935.97541488195
273603.4597571598,173196.97142044068,371438.6494181085
261279.268080558,160357.87372000812,357094.7045232083
249315.70368041974,148263.25278160855,342946.68664390023
237723.09855925615,136893.04442570618,329032.11990096944
226508.9693962225,126224.47525034228,315383.7056351182
215678.2606222776,116232.61873357103,302029.5733813425
205233.58018094875,106890.92445661704,288993.5564391165
195175.4293188177,98171.64178385123,276295.4577821639
185502.43145780163,90046.26794544674,263951.3814350921
176211.548099028,82485.84492843796,251973.91913092043
167298.27831587946,75461.31064471745,240372.5583444914
158756.84179463785,68943.77639506139,229153.91480819153
150580.36257341257,62904.739483080426,218322.011166889
142761.04300260742,57316.28024900306,207878.55039218382
135290.30650968433,52151.16595011052,197823.197425994
128158.93628270143,47383.04296965916,188153.77537636727
121357.2046159502,42986.52125825742,178866.51766477656
114874.98932701739,38937.23691325312,169956.25821143345
108701.87136143867,35211.86423826229,161416.61344794853
102827.23571182048,31788.19525245772,153240.21397578766
97240.35239147503,28645.155490372606,145418.8582983004
91930.44152029026,25762.770327149556,137943.64210129378
86886.74150666894,23122.180406683263,130805.093323019
82098.56263862463,20705.613303892605,123993.25876888973
77555.3397336873,18496.371258087267,117497.87699460468
73246.66777578852,16478.799394497953,111308.46048541479
69162.34027745557,14638.23512296327,105414.39376938003
65292.37386083913,12960.95898782702,99804.96487203857
61627.03203199318,11434.181693870953,94469.44053207802
58156.8472349303,10045.98318713226,89397.14825200521
54872.635141597755,8785.285859943528,84577.53041231625
51765.50785477199,7641.800970733129,80000.18517822113
48826.87531196811,6605.966751450011,75654.86500603962
46048.454150221005,5668.922280722618,71531.54059736567
43422.26903949815,4822.454776218998,67620.42210097406
40940.65417384422,4058.9686211911394,63911.969973748135
38596.25229547064,3371.4588927214136,60396.91536965468
36382.010239056915,2753.4418053779373,57066.273829914295
34291.177840082586,2198.942601870189,53911.35705322708
32317.300775357966,1702.4436337626903,50923.77560350664
30454.209889886322,1258.874658381308,48095.432335240344
28696.02397470241,863.5705244708188,45418.54926261649
27037.131584970117,512.2315223415171,42885.64185569527
25472.18922624176,200.91211904345982,40489.521697246375
23996.10731916459,-74.02708766761498,38223.28726606745
22604.043635205606,-315.9174065836705,36080.3357225474
21291.39341352643,-527.8328038422587,34054.35933203405
20053.793269616297,-712.5653143013624,32139.3393183027
18887.099969814524,-872.6773045286318,30329.512415766163
17787.376073641106,-1010.525920407792,28619.375885608464
16750.887945928775,-1128.2686367242386,27003.68019817833
15774.09972676493,-1227.8751215369975,25477.425343913623
14853.660045721797,-1311.1467480834544,24035.850617254928
13986.395046287822,-1379.7315440223847,22674.433169394535
13169.297582741205,-1435.1384447541677,21388.871611733193
12399.525087661727,-1478.7387760675974,20175.094057102186
11674.392659226265,-1511.7741398286307,19029.21953143509
10991.361047255985,-1535.3858132503356,17947.585801311612
10348.023788418684,-1550.6109910838659,16926.68229544806
9742.110981005979,-1558.395802709625,15963.12761400888
9171.47773212694,-1559.6040528847425,15053.78973611214
8634.098578993362,-1555.004599805503,14195.721108951275
8128.056984930741,-1545.3188553089076,13386.09831806205
7651.5487723248025,-1531.1881875853524,12622.218638045082
7202.871018740068,-1513.18708506236,11901.540339151701
6780.413507104242,-1491.8436769432865,11221.675808140508
6382.658626564566,-1467.6302646590993,10580.359694988509
6008.171128294928,-1440.9793281404272,9975.426430705811
5655.604925581892,-1412.2669956392529,9404.84919046356
5323.681113155256,-1381.851099775673,8866.69555224069
5011.200180407178,-1350.0374274352316,8359.151354427377
4717.033070463402,-1317.1048814235737,7880.503551120514
4440.1115160767995,-1283.3183017445872,7429.125178394163
4179.430261114815,-1248.9105052665345,7003.481317933049
3934.03908692527,-1214.075473951943,6602.1030749259435
3703.0438341867307,-1178.9593860544442,6223.620864901861
3485.607892378494,-1143.7484225252797,5866.746819894532
3280.938090916142,-1108.5629160779717,5530.254430067618
3088.2875094689643,-1073.5399366227284,5212.995669803964
2906.9507367603082,-1038.777300869674,4913.888766271053
