beta1,beta2,gammaH,gammaU,delta,h,ia0,e0
1.2129701846442527,0.734635056836249,0.12371215273580205,0.14766147804803356,0.4429220282785017,0.29996243210950657,1.526668488493464e-07,4.422373992023996e-07
1.1758101546490527,0.7486089982452852,0.14451700859757283,0.1626084620110709,0.47219240689374237,0.285551539028488,6.596230084266804e-07,5.145700649962953e-07
1.0000757513265919,0.6086151541061503,0.13799741753730324,0.12289149213127268,0.6308747266664915,0.28613153921635776,3.3663838100009696e-07,3.230103746749282e-07
0.9828704811018377,0.5438353145127945,0.16806861976757514,0.17258568924585913,0.7457467439461007,0.24939924536298635,3.082254573175896e-07,5.065368710695864e-07
1.1147578579887703,0.6147728110631825,0.12199402187754174,0.15341252282806242,0.6506048583078546,0.28755552776213633,5.370901423491304e-08,3.7122486259167096e-07
1.064020049380925,0.6928033187368815,0.17294293440764985,0.14581346428049452,0.510401950664495,0.27052379722199665,2.641844272579808e-07,1.6612171625113035e-07
1.1064687721076716,0.6335026073290444,0.1250184558476499,0.1071760638392515,0.625738533955986,0.3454992472689311,3.6045418522950555e-07,1.7861736930850688e-07
0.88664876264389,0.5494757373295127,0.14966782008493387,0.14686186705884877,0.7201877045132107,0.2729923684601164,6.197534886179347e-07,2.860041925967461e-07
1.3107257103717516,0.5796540229928551,0.106105758199956,0.11645194924612733,0.7417008141701081,0.3482903723738064,6.196406163548131e-08,6.07351637381293e-07
1.0701613439543207,0.6854208689920044,0.1670801265543815,0.13428911432502882,0.5567244010851842,0.25265187573139647,6.391137353521255e-07,2.917361820851949e-07
0.9703601043394884,0.542278613625019,0.1261866454192148,0.1504885593893321,0.7272733914467748,0.2598153170819029,2.7871074380894424e-07,3.8029095937978576e-07
1.098566842314734,0.6397557044275055,0.18056190182953505,0.11606105521761491,0.6160263437018787,0.2935710944695068,2.470563731679693e-07,1.9962233899141077e-07
1.2093394772884158,0.676921669160693,0.13697485689039007,0.19939383214033496,0.5574004360923125,0.23459236074872458,8.336164288298092e-08,4.855136691793359e-07
1.0538147493104566,0.6972205102777895,0.1398923030143633,0.09226525764107273,0.5116800178867011,0.33067002785425126,6.474446752949499e-07,3.034474430029294e-07
0.8879036611064404,0.5766478506412915,0.1492525515230705,0.19086899542496252,0.6786508116429835,0.27942024673032884,5.082948488808899e-07,6.506211161654403e-07
1.040743213608458,0.681240128692126,0.14460874559487816,0.14968171245747397,0.5558015768495114,0.27760312112378577,3.475555411518197e-07,6.620315459097038e-07
0.8845414850988844,0.5559631751708475,0.15078567385495364,0.16593131627025223,0.7174260142491323,0.3018849651214448,2.036418802144386e-08,9.821974342940495e-08
1.1229643287732858,0.7048901379276714,0.17731682682868743,0.16702511054736957,0.5239368254122568,0.24880115946349343,3.622436328819669e-07,4.380136972443632e-07
1.24039071890951,0.6810786011501905,0.19850492328477035,0.08643046951288043,0.5653469420977923,0.33820370580146775,2.812291392694076e-07,1.7725581543567394e-07
1.1067203704972435,0.6106777999713854,0.12003763166388791,0.11405588148671056,0.6469862635065552,0.3057548255147207,8.046762896633938e-08,6.676125456397007e-08
1.0813162591372487,0.6880025533096525,0.1660198481762235,0.13117181740782496,0.5229490675516688,0.29999727417345584,1.739380178940842e-07,4.388659940948511e-07
1.0334387611071203,0.6147074506586679,0.10421991492994173,0.14700320735897734,0.6466456723144075,0.3286365033524706,3.1881146257794116e-07,5.172285936488733e-07
1.1810245364394492,0.7430664095481778,0.1620123288336095,0.15809606391286327,0.4840483638496365,0.288546321107497,4.854813570386705e-07,1.1640950575155689e-07
0.8673776659753328,0.5008407005797202,0.10414878051470398,0.11493691921865347,0.8119816100164148,0.29739399740843964,4.2350304547057697e-07,8.558928878171355e-08
0.9593264856512111,0.537861844273998,0.1736963072217482,0.14846555467009218,0.8071464744714713,0.26680587261116495,2.1582311253281252e-07,2.7843710955613896e-07
0.9199566066718863,0.577346989937545,0.16944003423562887,0.14422835229014058,0.7031144443196489,0.3028650443441369,4.5267670906791396e-07,1.2073859259450911e-07
0.7973167127253985,0.5242254329751722,0.17957765672969006,0.17301379274015474,0.7879910125911234,0.2641498442561254,4.557418261418264e-07,4.839840539597113e-07
1.1679141472352998,0.7301288271453189,0.14542563620395849,0.18116361421465454,0.500560551232962,0.2506641946601725,4.2737598087496575e-07,2.65745052231595e-07
1.2322333079670806,0.8043927910355395,0.18576496181887292,0.18566273196528368,0.42025491976941587,0.250252724298863,2.851456676794902e-07,4.6751846611137243e-07
