susceptible_mean,susceptible_lb,susceptible_ub
7725506.218330288,6066989.733221173,9171002.675790258
7616520.668674532,5973665.051280794,9036055.726896806
7511315.009323179,5885833.6127465945,8904352.109105863
7409889.548711193,5803333.499921009,8776043.946483312
7312229.797297144,5725987.648919465,8651257.944907585
7218307.735633155,5653562.990126682,8530096.40009547
7128083.08984132,5585670.899090971,8412638.335966934
7041504.591215142,5522339.102480671,8298940.763466717
6958511.219427931,5463358.501036476,8189040.105100594
6879033.402841622,5408517.607070556,8082953.782697397
6802994.192735818,5357604.528859135,7980681.7794496715
6730310.36035618,5310408.683039818,7882208.081224682
6660893.426736719,5266722.251456279,7787502.321004776
6594650.652603812,5226341.441494131,7696521.366734485
6531485.928167934,5189067.542803459,7609210.728411728
6471300.622230551,5154707.868885381,7525505.999918401
6413994.33014497,5123076.382331234,7445334.22042334
6359465.568522813,5093994.250276102,7368615.162240375
6307612.398055223,5067290.261556774,7295262.512780222
6258332.971302296,5042801.057566619,7225184.96636151
6211526.03697457,5020371.308909652,7158287.268791464
6167091.366050825,4999853.757582405,7094471.146373038
6124930.1229922995,4981109.181456663,7033636.134899769
6084945.191332181,4964006.307325818,6975680.33896298
6047041.4532066705,4948421.663971835,6920501.113110201
6011126.005431778,4934239.3041580785,6867995.680004093
5977108.358128092,4921350.636965085,6818061.657576989
5944900.584985953,4909654.144871203,6770597.527467258
5914417.437441906,4899055.062905622,6725503.033594057
5885576.431818702,4889465.09602025,6682679.518448642
5858297.913465435,4880802.123366371,6642030.219754443
5832505.094778719,4872989.809569545,6603460.5190664735
5808124.067797914,4865957.344640906,6566878.151471366
5785083.803052334,4859639.1100634355,6532193.360012574
5763316.135221423,4853974.34761006,6499319.036378819
5742755.729061774,4848906.926230954,6468170.794718506
5723340.036871605,4844384.967618477,6438667.047662441
5705009.247429038,4840360.605776306,6410729.037978146
5687706.225320547,4836789.741775102,6384280.897614235
5671376.44514311,4833631.732028143,6359249.633322302
5655967.914829977,4830424.102016754,6335565.1049254695
5641431.105716684,4827544.695852641,6313159.9778372785
5627718.867589388,4824992.286018688,6291969.719225578
5614786.35110141,4822737.432168893,6271932.549949187
5602590.921723179,4820753.074470885,6252989.358803975
5591092.081682785,4819014.357421762,6235083.691211639
5580251.377997997,4817498.468585017,6218161.598310085
5570032.325306339,4816184.4597810265,6202171.648398085
5560400.321625525,4815053.120429479,6187064.789685065
5551322.570482747,4814086.895814419,6172794.313164991
5542767.999348535,4813269.686746489,6159315.738063956
5534707.176409084,4812586.76731958,6146586.751032591
5527112.243423748,4812024.663994168,6134567.113108423
5519956.838645292,4811571.074758578,6123218.595652394
5513216.017916446,4811214.743066764,6112504.8616365995
5506866.199144253,4810945.418701382,6102391.436176853
5500885.089367278,4810753.755218041,6092845.593273493
5495251.61589183,4810631.227108554,6083836.2953945855
5489945.87043803,4810570.071403669,6075334.112581774
5484949.048211476,4810563.222134157,6067311.125059659
5480243.391938166,4810604.2635761835,6059740.866490339
5475812.135902452,4810687.3643523725,6052598.296179616
5471639.459607696,4810807.244014281,6045859.754196733
5467710.425128105,4810959.105817612,6039502.792039989
5464010.934837437,4811138.6053054705,6033506.125458696
5460527.701228442,4811341.836382035,6027849.669496432
5457248.182164327,4811565.259302668,6022514.401749965
5454160.55322794,4811805.6965211155,6017482.331197394
5451253.665618721,4812060.268372958,6012736.463584309
5448517.005984161,4812326.382565785,6008260.7144757435
5445940.660577459,4812601.713186101,6004039.874574303
5443515.28840813,4812884.136993884,6000059.59734963
5441232.0806950545,4813171.795436561,5996306.266050515
5439082.750679616,4813463.069780399,5992767.101061481
5437059.471726152,4813756.532163071,5989429.975152323
5435154.880375946,4814050.839032868,5986283.47503538
5433362.034707024,4814344.810443524,5983316.795162628
5431674.394249646,4814637.448384756,5980519.708971136
5430085.801599672,4814927.8358549485,5977882.5878611365
5428590.465927061,4815215.231649496,5975396.379285993
5427182.914295753,4815498.923211637,5973052.4698725175
5425858.001892925,4815778.35444294,5970842.765588612
5424610.884780947,4816053.025783602,5968759.619219918
5423436.998999184,4816322.5148389265,5966795.824194154
5422332.0464801295,4816586.485775516,5964944.571852443
5421291.987121424,4816844.6306004105,5963199.4496262735
5420313.0081895795,4817096.722135981,5961554.3981867125
5419391.520924319,4817342.560355327,5960003.690196025
5418524.154545092,4817581.9405131135,5958541.943826102
5417707.725973693,4817814.821939837,5957164.07426711
5416939.246272773,4818041.12962225,5955865.259748437
5416215.898560724,4818260.835726745,5954640.996404677
5415535.029389681,4818473.916496468,5953487.019508343
5414894.142501396,4818680.387453073,5952399.29906082
5414290.885742712,4818880.281339473,5951374.040361191
5413723.049506016,4819073.654995086,5950407.691507652
