Infec_mean,Infec_lb,Infec_ub
527567.6158228017,299703.4685592016,715206.7585145083
553282.4395017183,316560.47367110266,749652.0832844638
579663.6358287976,334268.2394887607,784813.8758622899
606675.4839270201,352841.0761663782,820620.9960523915
634278.0054313904,372288.44235624175,856996.1306930147
662427.1607753382,392614.52527098026,893856.3346743345
691075.0965379099,413817.7321024781,931113.6512276144
720170.4544689839,435890.32268988335,968675.81797123
749658.7306945019,458818.11502798117,1006447.1087317275
779482.6866918645,482580.30750617845,1044329.1834266764
809582.7929561614,507149.3998614171,1082222.0332347662
839897.7107052295,532491.2501536519,1120024.97758755
870364.7989346388,558565.2405229744,1157637.6062289285
900920.6348458272,585324.5565229142,1194960.7924937324
931501.5423787964,612716.6095420453,1231897.6703835898
962044.1194047384,640683.5393001542,1268354.5707249886
992485.7462781471,669162.7923330845,1304241.8855660749
1022765.0843826486,698087.818462133,1339474.8826084912
1052822.53875154,727388.7956346618,1373974.414923263
1082600.6898986502,756993.400939457,1407667.5444477457
1112044.6822601687,786827.6129915043,1440488.0374965058
1141102.574816718,816816.5251956822,1472376.7897908324
1169725.6344901887,846885.1169189054,1503282.1004951643
1197868.5830327405,876959.0127538937,1533159.8447881541
1225489.7946875857,906965.2313592742,1561973.541827936
1252551.438505834,936832.8199312043,1589694.2981589236
1279019.5739172844,966493.4544224443,1616300.6710352418
1304864.19780016,995881.9776589611,1641778.437270746
1330059.2443544876,1024936.8503938203,1666120.2789872643
1354582.5452677784,1053600.5226938822,1689325.4017053125
1378415.753190681,1081819.7265639564,1711399.106402234
1401544.231175025,1109545.6909140048,1732352.3122644345
1423956.911484572,1136734.290746986,1752201.0460990504
1445646.130374557,1163346.1286907946,1770965.9116600878
1466607.44800309,1189346.537851231,1788671.5578831378
1486839.4458800836,1214705.5324361618,1805346.1337748447
1506343.5163423829,1239397.7118161134,1821020.772697709
1525123.6443952636,1263402.1343666492,1835744.4922834942
1543186.1855351957,1286702.1200349329,1849576.0163399044
1560539.6425851283,1309285.07313782,1862513.9828137513
1577194.4451919396,1331142.2060384464,1874596.4016340734
1593162.7302260164,1352268.3232195734,1885861.9767013746
1608458.13412947,1372661.5579052928,1896349.7503901562
1623095.5891914354,1392323.097234898,1906098.7832699516
1637091.1326962844,1411256.918333265,1915147.8719426424
1650461.723356036,1429469.5189488379,1923535.29729934
1663225.0703295819,1446969.6524167305,1931298.6077945523
1675399.4767044,1463768.0750490595,1938474.4448004004
1687003.6894025516,1479877.2974162376,1945098.382018355
1698056.7653420898,1495311.3483506786,1951204.8112936087
1708577.9500420608,1510085.554033778,1956826.847819664
1718586.5665465107,1524216.3329525262,1961996.2583334611
1728101.9137438159,1537720.9933924964,1966743.4008407677
1737143.1799705492,1550617.5724745523,1971097.2179690502
1745729.363387916,1562924.6491172584,1975085.2051536168
1753879.2053205925,1574661.2038464656,1978733.4144684442
1761611.1306736465,1585846.4833493654,1982066.4726992024
1768943.1957124486,1596499.87853339,1985107.5980798379
1775893.0466816865,1606640.8088654676,1987878.6348958327
1782477.884464426,1616288.6334129858,1990400.0987372375
1788714.4361939372,1625462.5584743258,1992691.2140637308
1794618.9322008402,1634181.5686567535,1994769.960144637
1800207.0893601382,1642464.3623362018,1996653.138645207
1805494.0977219914,1650329.2905626963,1998356.4057107968
1810494.6128240942,1657794.3111094064,1999894.3418307735
1815222.7528868446,1664876.956285667,2001280.5056925537
1819692.097311267,1671594.2941141038,2002527.4818731262
1823915.6891203634,1677962.9138833168,2003646.947913474
1827906.0397639775,1683998.8959175402,2004649.717334562
1831675.1359782156,1689717.8046370158,2005545.7923328332
1835234.449103342,1695134.6697025641,2006344.4252730277
1838594.945684261,1700263.9893373104,2007054.1543065808
1841767.099925676,1705119.732434344,2007739.0316025112
1844760.9048931675,1709715.3244088264,2008382.0053756621
