Hosp_mean,Hosp_lb,Hosp_ub
8520.664013681637,2507.645755942902,12266.550146226458
9069.676531727955,2639.3939103950197,13083.47591624119
9649.825583230428,2776.668241162726,13947.581596047887
10262.29257974469,2919.534614002864,14860.598693572822
10908.222319091174,3068.036177775949,15824.182516725523
11588.70907996456,3222.1929334571287,16839.88556499179
12304.781241207545,3381.997475443315,17909.132238919006
13057.384654823578,3547.4108128122734,19033.188148950518
13847.364390403016,3718.3641729095343,20213.129734653667
14675.445263624095,3894.752811022443,21449.809473954876
15542.210803845885,4076.4280947648967,22743.82081729627
16448.081921656598,4263.205508696237,24095.46092192895
17393.293550623723,4454.85914765155,25504.69165820651
18377.871501314632,4651.113180957642,26971.10044019639
19401.609257332122,4851.647140200261,28493.860592219335
20464.043907662413,5056.091403128412,30071.693622227358
21564.433102343744,5264.02790796392,31702.832307460994
