Infec_mean,Infec_lb,Infec_ub
1561.900674856606,1463.6025097491786,1651.8843969185916
1684.4495136258229,1566.3492506424313,1786.442892880181
1816.0014014338176,1677.7051359099733,1932.7030323892136
1957.2157928493978,1797.603047597154,2096.164967515201
2108.798150923405,1929.8804115231003,2272.0445526653966
2271.5055843610708,2066.013297287007,2455.4046730105497
2446.1477697629034,2213.5548270654776,2658.9359299037633
2633.5937548178713,2371.680528414631,2881.0773441533406
2834.7721339406535,2538.2135016222255,3117.4332603614766
3050.678794647359,2710.575751424447,3376.597526074422
3282.3782096679593,2895.4775626262663,3662.455903141711
3531.009763098699,3078.040947207912,3969.163198200359
3797.7919476899488,3273.588355578473,4292.946854904542
4084.0264767612994,3481.3553846701684,4644.98013619578
4391.104853307778,3701.3705986649566,5028.731939015406
4720.513005955419,3930.1972767600987,5441.238574320718
5073.835988349631,4173.405386387122,5886.625545433266
5452.766108317918,4442.192263449509,6372.006019233961
5859.105961845048,4724.590861408371,6896.406398052601
6294.777206892861,5023.493209189723,7462.099883792431
6761.824268177808,5331.176304411031,8072.166188015857
7262.422080306516,5653.301936210673,8729.888163977985
7798.88208669926,5992.7178644590695,9438.766673684248
8373.658480144739,6347.113276725916,10202.529617547687
8989.353634876199,6718.760473248723,11013.765114874941
9648.724575361786,7105.807903767877,11877.236701654652
10354.688902936432,7497.2018368275185,12810.711551117995
11110.330097034537,7906.217333639329,13817.84803648054
11918.900724048397,8333.385000821823,14900.383774149195
12783.827744066004,8793.2146602547,16063.1439181553
13708.715725621987,9289.764558831768,17314.74208953999
14697.347845207496,9810.919128300047,18660.585506582873
15753.688120241297,10356.22240579907,20111.26090801797
16881.879402372586,10925.53919647361,21690.081950681844
18086.241958136314,11544.929513118492,23383.398312159836
19371.268632033385,12210.476507145435,25198.280272113076
20741.61839818695,12911.812666156364,27142.056997376683
22202.1058818046,13650.90736394878,29222.29463618183
23757.690291578918,14429.880531926101,31446.77854207249
25413.459273104265,15208.036995046568,33823.47918162422
27174.6099191036,16023.663220031473,36360.51308678752
29046.425472158106,16879.987562723025,39066.102391995584
31034.24774828279,17779.41987105639,41948.522121531234
33143.44509580267,18724.63236427123,45016.03603051241
35379.376220021055,19718.573291070177,48276.83308447374
37747.34839587991,20761.591206120916,51738.94582222699
40252.570467119105,21858.216023275654,55410.164054884575
42900.10202498192,23013.82990351911,59297.94283243906
45694.79641796047,24232.777893860235,63409.29243742373
48641.24055957112,25519.833350843204,67750.6682852125
51743.68960369038,26866.75099751658,72327.85230783836
