susceptible_mean,susceptible_lb,susceptible_ub
2369212.8339559697,2151072.25767414,2627409.29230603
2342841.9106232063,2112781.3338274835,2613606.4847897915
2315714.0346934292,2073539.6813204621,2598909.495460821
2287869.2417073604,2033432.4402234387,2583276.643415315
2259353.0577603793,1992554.0512292855,2566670.9437105544
2230216.2612324213,1951007.5509339245,2549061.2420347575
2200514.5461073196,1908847.0592180337,2530423.3536492786
2170308.110656269,1866056.4268758362,2510741.0743618645
2139661.16200767,1822931.7158662465,2490007.0643820036
2108641.347575052,1779600.82694697,2468223.5824777978
2077319.1355279197,1736194.9114762433,2445403.000279587
2045767.1414152435,1692846.963813836,2421568.1323367255
2014059.4281201845,1649690.362045668,2396752.2769464683
1982270.7854112592,1606855.464164896,2370998.9972636933
1950476.008467466,1564473.261279286,2344361.7157627684
1918749.1905034538,1522670.0874079443,2316903.045913052
1887163.037332951,1481566.4789078748,2288693.9335308056
1855788.2309891242,1441276.4874642547,2259817.096259624
1824692.8320615406,1401906.6086897473,2230359.319909784
1793941.750030579,1363554.8273135528,2200402.639855544
1763596.2778605851,1326309.8528952138,2170039.7863463145
1733713.6967932247,1290250.5114618028,2139365.707441323
1704346.9579915237,1255445.3011359842,2108476.247448448
1675544.4360167165,1221952.1663104151,2077466.883641527
1647349.757358914,1189818.364441597,2046431.5675812387
1619801.7039970004,1159080.5844154658,2015461.654118952
1592934.1777026004,1129765.096282082,1984644.9468731557
1566776.2302571805,1101888.1474647294,1954064.902707207
1541352.1464206886,1075456.412385011,1923799.9640145018
1516681.5775955743,1050467.53636358,1893923.0166526553
1492779.718158723,1026910.7957424533,1864463.8439321518
1469657.513555371,1004767.7830877419,1835345.7084293044
1447321.8976982164,984013.1490305294,1806810.4063787723
1425776.0555674993,964615.3808267227,1778905.6160526075
1405019.6944911522,946537.5827152095,1751672.6234713467
1385049.3298909701,929738.2459153256,1725146.482827573
1365858.5737618054,914171.9874056855,1699356.2377055255
1347438.4225900506,899790.3382077693,1674325.1952018314
1329777.5415324932,886542.4036489457,1650071.2461091173
1312862.5414488793,874375.5153064573,1626607.2180351135
1296678.2453287719,863235.8416291834,1603944.191592909
1281207.9432071247,853068.9516473532,1582088.0198657333
1266433.633431755,843820.3062048332,1561033.0495440112
1252336.2474442243,835435.7003929031,1540775.6496205265
1238895.8607014222,827861.6697070071,1521309.0199825377
1226091.885944512,821045.8170191946,1502623.5515388637
1213903.2502327284,814937.0902190206,1484707.1773688467
1202308.5563656425,809486.028468336,1467545.6999428018
