beta1,beta2,gammaH,gammaU,delta,ia0,e0,t1,is0
0.9183498217229265,0.554859165912757,0.11711957353785613,0.11958398947727714,0.6384637676881447,3.1117273638395556e-07,5.153926296818323e-07,26.69206443148036,9.566570303055913e-08
1.2070562382273415,0.6409718565396614,0.14865013139688407,0.14173253705915725,0.490765999113367,2.8204024218197993e-07,3.146453732452793e-07,27.16227166592678,2.635584702454818e-08
1.139398933420753,0.6071615416296811,0.14487946725833495,0.1036230864389977,0.5392029012985726,2.983227647941553e-07,1.180553594659247e-07,26.93374717705654,7.412103342022535e-08
0.816466015018297,0.5455229486475726,0.1717368624125306,0.1245221865412692,0.6332305112964235,4.7409729716453195e-07,2.771161386767583e-07,25.962635146618958,6.690026683340158e-07
1.0807993122811008,0.6593256049769969,0.1486644534981767,0.13283897431096767,0.46664634788376147,1.2731482924030953e-08,1.1940280678371351e-07,29.95806302455972,3.859535095199873e-07
1.0349689911486069,0.6807736796022109,0.11292500963039015,0.19946072429713071,0.43664119782135113,1.884376648820258e-07,1.698144457911053e-07,28.605406210735616,6.490254517738599e-07
0.8349628754967897,0.5047354556449186,0.11287553154332411,0.18842588981988884,0.7051901138100773,5.180296238838178e-07,2.1707086118671875e-08,29.025155590739203,2.1600970973267883e-07
0.9007639501179425,0.5254327091742713,0.19171688410586452,0.17177990671882787,0.6949933343165995,1.7610814567016982e-07,4.5819731105394245e-07,25.209235948545828,1.7137046846384655e-07
0.9890433155469693,0.5461213100445368,0.12016783442701248,0.1388065183672076,0.6609492119848355,2.6643299501389044e-07,2.771137847437202e-07,27.498533139400706,1.3362565480130034e-08
0.8809515890640844,0.5770295616415893,0.08489196548099492,0.14847740503776474,0.5940735239589963,1.6391669553163412e-07,3.7885408249483995e-07,29.63958190729113,4.211432538569108e-07
0.8651229015209845,0.5130110095060785,0.1334414093598072,0.14263748916375357,0.6673989085068226,5.532722657109577e-07,5.8578962667854806e-08,29.983411463771148,1.6337117391333523e-07
0.9398560945175273,0.6005347855713294,0.16885733607321957,0.13684188666539038,0.5824418448705857,9.042763212508949e-08,5.162809497820796e-07,24.80277934651916,3.8906960648366574e-07
0.9562315389595591,0.5918604184306488,0.15635230432577452,0.18628692123760096,0.5520463995742729,1.6018750031243278e-07,2.765047405836358e-07,29.057358618569708,3.8730122720299604e-07
0.8887035636198477,0.5708995642670408,0.13212833609802457,0.1158822351466717,0.5907798730468246,3.512412408568207e-07,2.9801741697019235e-07,29.954291954539954,3.6226211484031265e-07
0.7725331755551771,0.5043055319239133,0.11593990935257133,0.19206462264790344,0.7213222289883545,3.113655787950654e-07,3.3549972945394224e-07,29.114039564718553,3.789342700984869e-07
0.8613384877647505,0.5133207767444391,0.15471697671725304,0.1191229326473975,0.6906152491550297,5.280355213877884e-07,1.16795880242745e-07,29.208469994663687,9.752898931244635e-08
0.8843001497842011,0.5448168380555107,0.18988124324665157,0.09390768175452704,0.6264736175166459,3.567310580818127e-07,6.439235704057028e-07,28.8420971713528,1.2804101112111966e-07
0.8822795957683915,0.6046407118751479,0.1355592897333718,0.16197892383151263,0.5589385227977053,5.384690691659311e-07,3.048520836840949e-07,29.322400363554834,4.051381473020358e-07
0.8279040979155907,0.5079669533152309,0.10967145135484824,0.11866855035901691,0.6863799286029824,3.189126869214234e-07,2.885852161589995e-07,29.33709054540489,3.4024353103827814e-07
0.9363372763079575,0.537903020494732,0.1245739721005687,0.1428555541681677,0.6642859314482832,2.92089437726554e-07,2.880337543562493e-07,27.346629019644887,7.710871451924298e-08
0.7842706843744636,0.5632924812952188,0.17905716934851085,0.1775491762258592,0.6035979713890405,6.698417169127964e-07,6.596586400233868e-07,29.74809123117305,4.953867563665425e-07
0.9528261046515483,0.5748871948695392,0.1785332557767293,0.14020997076859554,0.5892611771224457,3.272782077296673e-07,5.771432891175281e-07,29.153118887992036,5.686025605346229e-08
1.0108578878589334,0.5495377824182055,0.1088729268707144,0.14325921066692443,0.6195831330729341,1.0556941861331233e-07,8.42601608865179e-08,29.233941830880173,1.927002958156367e-07
0.8494478536944756,0.4832554564349697,0.19816370113308646,0.13657369793169735,0.7216203450936769,5.3596142541236806e-08,5.340567259295425e-07,29.96005861893144,1.8225004718886018e-07
1.02860946843726,0.5611969390043434,0.1575147996304344,0.08826502971450383,0.559847788302184,3.464016352237915e-08,6.208601008865887e-07,29.984866218033915,1.4214094800000312e-07
0.6957935960037003,0.3753225466399558,0.14184819610011515,0.16803874791909917,0.9944788368858415,1.6058914199904835e-08,5.929034164783491e-07,29.92472176987829,9.269734765739105e-08
0.914691915228554,0.6162934894296859,0.12971668024678018,0.1434622731963857,0.5410260742074491,1.1497768258720294e-07,3.8431748825536046e-07,29.480357601473713,4.893116618305397e-07
0.8831579193127411,0.5676054807692291,0.13072882172895617,0.14010133365459704,0.6403450306554249,2.7830262606734044e-07,2.3853232077272365e-07,27.994373201026562,2.493176557733281e-07
0.9132173913712536,0.5013433099219746,0.14589795962676924,0.08485330071140706,0.6657325704975996,1.0737993204240847e-07,1.5919077915272386e-07,29.804158675368797,3.133848643024204e-07
0.9559983346460275,0.5151093570648324,0.139510789791145,0.1274674738570044,0.6609844851814901,2.0963991343483063e-07,5.3798195027439774e-08,29.169770900508468,1.85422504068903e-07
0.9309941650686377,0.5614402143643945,0.17969530567107794,0.1991864090423793,0.6129212411486363,2.827049937491587e-07,2.925196655939009e-07,24.521204468706863,3.9287305411601547e-07
0.8378396795774552,0.4528587143908711,0.12703388455666983,0.087595624254525,0.8490097434464374,2.5684023802111347e-08,4.6013594485219804e-07,27.57274362025865,2.8631319426599494e-08
