susceptible_mean,susceptible_lb,susceptible_ub
2455182.50298678,2298225.2378626945,2682655.699285315
2436373.4083622517,2271920.979309601,2673462.5784980264
2417054.2170911445,2244975.4095407706,2663736.679304191
2397239.9982982497,2217421.7332942267,2653452.254065836
2376948.2437187135,2189297.1571375313,2642584.7807509126
2356198.852571774,2160642.799368518,2631111.394622076
2335014.0800106134,2131503.5372866,2619011.289724032
2313418.4741229475,2101927.8060581256,2606266.1747089
2291438.782930614,2071967.354720447,2592860.689427483
2269103.8335613655,2041676.9237821226,2578782.799734148
2246444.388087979,2011113.9713290555,2564024.1566627584
2223492.9736037804,1980338.2316624115,2548580.4185817786
2200283.702195165,1949411.351613469,2532451.5245981766
2176852.065615381,1918396.430889506,2515641.8585702595
2153234.714430204,1887357.5542434151,2498160.555777029
2129469.2217782405,1856359.3360710607,2480021.3557452685
2105593.849677944,1825466.4268171196,2461242.7335466044
2081647.2892153936,1794742.9931627074,2441847.774104296
2057668.4169442742,1764252.255160409,2421864.0256259437
2033696.0397433587,1734056.0146336425,2401323.275492753
2009768.6508545142,1704214.1836677012,2380261.268847792
1985924.187465868,1674784.3637249046,2358717.3609922687
1962199.8046712985,1645821.4617727015,2336734.106297844
1938631.6523596654,1617377.3177154367,2314356.828018061
1915254.6779438935,1589520.8637660113,2291633.152189496
1892102.445713141,1562292.7832688307,2268612.5307119396
1869206.96430983,1535718.1064778634,2245345.7346220636
1846598.5465793656,1509822.0484602575,2221884.3531614426
1824305.6872174842,1484778.3718776861,2198280.3202202423
1802354.956191921,1460501.29294516,2174585.4361640303
1780770.9222002723,1437002.2092203018,2150850.93701055
1759576.0923418414,1414300.3662804505,2127127.075832697
1738790.874130467,1392410.749998076,2103462.74211953
1718433.5574869812,1371344.2060392848,2079905.1119907247
1698520.313095647,1351107.5603426588,2056499.3858711268
1679065.2132745879,1331703.7918815291,2033288.5189931719
1660080.2635512936,1313132.229396573,2010313.0044873292
1641575.455965752,1295388.7908025957,1987610.7161354786
1623558.8227143374,1278466.1491478903,1965216.7595877652
1606036.5136266502,1262354.1356619324,1943163.4350472616
1589012.873958311,1247039.8671924192,1921480.144452706
1572490.5394082048,1232508.050679569,1900193.4101700718
1556470.5257772836,1218741.2380258692,1879326.8117650116
1540952.3309633092,1205720.1300191656,1858901.1189842406
1525934.0386973778,1193423.8296883642,1838934.3216350907
1511412.4231407952,1181830.0829015358,1819441.7179468155
1497383.054058293,1170915.5180993546,1800436.0030982904
1483840.4042407644,1160655.9011560706,1781927.4160049064
1470777.9502775406,1151026.340239564,1763923.8164844606
1458188.275298423,1142001.484964302,1746430.8589256844
1446063.1699410423,1133555.7237263308,1729452.1316197359
1434393.722497001,1125663.347723172,1712989.2880387513
1423170.4172543588,1118298.711804703,1697042.2009236254
1412383.214976071,1111436.3869667293,1681609.1007660804
1402021.6379701856,1105051.248834502,1666686.7253772083
1392074.8452873724,1099118.6275702808,1652270.4552812583
1382531.707786099,1093614.3662074336,1638354.455582484
1373380.8752421555,1088514.926122841,1624931.8002553151
1364610.8382599978,1083797.452634246,1611994.6113349348
1356209.9831490861,1079439.791741813,1599534.1625212685
1348166.6456158424,1075420.5912311093,1587541.0001527758
1340469.1602185096,1071719.2688773815,1576005.0470193701
1333105.900593431,1068311.3556222413,1564915.7027006876
1326065.3190172089,1065126.4901436667,1554261.9312656461
1319335.9820987426,1062205.540026361,1544032.353612706
1312906.5998864505,1059531.2839492676,1534215.319904796
1306766.0561580253,1057087.3210398573,1524798.9913950958
1300903.4258781082,1054858.081234228,1515771.3905644512
1295307.9965187474,1052828.7894046537,1507120.4651919678
1289969.2897663612,1050985.4484295638,1498834.1472779938
1284877.072634936,1049314.8640215083,1490900.3976758744
1280021.369669613,1047804.577610093,1483307.252418055
1275392.4700158224,1046442.8518373708,1476042.8518807467
1270980.9366759155,1045218.6401980019,1469095.4806561926
1266777.61132472,1044121.5758303897,1462453.5935898814
1262773.6202018417,1043141.9328714306,1456105.8456992186
1258960.3719129928,1042270.6099022181,1450041.104965623
