susceptible_mean,susceptible_lb,susceptible_ub
14601705.114534939,14483059.27560837,14764991.16378268
14588332.66130068,14462273.997071343,14762344.846037352
14574329.427480422,14440450.466945827,14759689.011714386
14559668.559706004,14417542.837390475,14757025.764003413
14544322.366038239,14393503.869703991,14754356.915577287
14528262.334373372,14368284.936320378,14751684.062542409
14511459.128343731,14341835.976696132,14749008.397826161
14493882.626332534,14314105.619501885,14746330.610933905
14475501.92239073,14285041.337010207,14743650.95182179
14456285.375733566,14254589.099529585,14740969.064226266
14436200.621501729,14222693.833748257,14738283.49000183
14415214.633922199,14189299.48013063,14735592.13660299
14393293.76152246,14154348.9071181,14732891.57187068
14370403.779608482,14117784.142375618,14730177.4681944
14346509.979386164,14079546.530206919,14727443.634077342
14321577.210191797,14039576.786723971,14724682.782604817
14295569.984403718,13997815.234061107,14721885.21929685
14268452.563612446,13954201.971843105,14719039.920834558
14240189.056283886,13908677.070646172,14716133.127372762
14210743.531237328,13861180.779413534,14713148.8938869
14180080.15719418,13811653.85585504,14710068.436062394
14148163.315982638,13760037.695355024,14706870.26160394
14114957.770103589,13706274.741364246,14703529.455949087
14080428.796978233,13650308.711942846,14700017.743280653
14044542.360054284,13592084.968029806,14696303.311893469
14007265.29883939,13531550.94414163,14692350.309748037
13968565.504639823,13468656.34804619,14688119.171126295
13928412.129646493,13403353.568557547,14683565.568331225
13886775.771608606,13335598.186513217,14678641.05866696
13843628.736004753,13265349.382785676,14673292.242035473
13798945.157052163,13192570.140148036,14667461.114553256
13752701.329081947,13117228.009577965,14661085.009237614
13704875.866557231,13039295.33167183,14654096.296936518
13655449.971951935,12958749.676918088,14646422.827495044
13604407.634113105,12875574.409223355,14637987.29760139
13551735.877276624,12789759.087382251,14628707.883905768
13497424.984297885,12701299.737945277,14618498.552181607
13441468.677024987,12610199.327198504,14607269.226817455
13383864.379502254,12516468.24698644,14594926.196421012
13324613.373004222,12420124.59424811,14581341.260596206
13263721.00138334,12321194.548627008,14566209.752625432
