ARmaior,Sexo,Armenor,NomeMunic,0 a 5,5 a 10,10 a 15,15 a 20,20 a 25,25 a 30,30 a 35,35 a 40,40 a 45,45 a 50,50 a 55,55 a 60,60 a 65,65 a 70,70 a 75,75 a 80,80 a 85,85 a 90,90+,Total
PARANÁ,f,4100459,Altamira do Paraná - PR,80.91838,82.5981,100.3976,102.6084,93.61164,99.82318,95.39235,112.5265,117.0435,115.244,146.0391,120.5468,94.46569,99.95399,67.40088,45.6235,29.62082,17.11934,10.05615,1630.98992
PARANÁ,f,4100509,Altônia - PR,703.2347,704.1647,713.4522,721.516,791.3271,771.3673,795.3615,827.4879,760.8889,751.3142,752.6497,683.3595,619.7779,510.9513,402.0088,284.2763,197.8323,107.6612,58.79462,11157.426120000002
PARANÁ,f,4100608,Alto Paraná - PR,459.1411,442.664,415.0202,504.9155,544.9323,565.6149,512.4577,513.9824,498.7272,517.6041,543.4672,459.5292,413.7261,305.9775,228.7793,173.3232,109.8309,57.94466,40.32138,7307.95884
PARANÁ,f,4100707,Alto Piquiri - PR,291.039,294.5134,303.7954,281.878,323.1938,373.0595,315.7379,347.0663,325.2322,350.8278,379.8584,323.7071,277.4183,206.2739,192.3499,139.7225,92.27151,50.72756,31.96787,4900.640340000001
PARANÁ,f,4100806,Alvorada do Sul - PR,357.3149,354.9485,325.7779,344.3471,387.5528,427.118,392.2062,376.9373,362.7769,365.0785,385.194,371.7898,335.112,282.2501,190.9079,132.5247,100.9682,42.8005,32.52698,5568.132280000001
PARANÁ,f,4100905,Amaporã - PR,253.1101,243.3154,239.8684,238.6378,244.1616,261.4866,256.8031,216.4905,203.9205,174.1204,210.0972,175.0061,137.8045,106.4492,50.34631,42.05552,37.20778,21.26235,10.41313,3122.55649
PARANÁ,f,4101002,Ampére - PR,654.513,638.7468,637.3735,678.7335,755.9737,806.0893,684.1465,653.2374,640.0893,622.7442,645.5541,616.6013,494.4593,353.8212,281.3766,193.6944,131.0596,64.79656,35.14643,9588.156690000002
PARANÁ,f,4101051,Anahy - PR,88.23395,86.86896,94.17017,89.58602,105.1287,93.93511,84.44087,89.58428,123.5205,82.42156,102.9041,83.04031,88.14102,74.21863,54.33439,43.06123,24.35333,13.97096,10.73689,1432.6509800000001
PARANÁ,f,4101101,Andirá - PR,552.2928,562.7082,593.6987,613.3555,680.7849,665.4382,681.8613,735.0853,757.9119,767.9026,753.5236,697.8689,589.4716,565.8466,417.6601,314.3151,182.1164,101.4204,60.05454,10293.316640000001
PARANÁ,f,4101150,Ângulo - PR,87.88903,86.52365,79.02926,92.18643,100.3049,115.1697,101.5841,99.48477,99.54921,106.6765,97.36095,100.9335,90.83294,54.94645,49.60096,41.72179,18.65838,12.16694,8.860343,1443.4798030000004
PARANÁ,f,4101200,Antonina - PR,635.9808,605.9408,618.1887,670.7545,686.7555,665.2201,598.5887,610.0937,654.6829,603.2529,628.4159,642.9584,510.7757,424.0097,329.8002,275.8916,170.3675,98.5011,60.31007,9490.48877
PARANÁ,f,4101309,Antônio Olinto - PR,213.8661,211.8054,208.9036,242.9638,253.4622,244.012,207.0529,225.9744,229.7355,251.0493,267.6633,247.7625,178.4603,182.1676,123.0271,83.98081,66.91937,30.41567,17.47241,3486.6942599999993
PARANÁ,f,4101408,Apucarana - PR,4371.865,4373.392,4372.08,4523.746,5075.057,5269.932,5310.698,5217.925,5050.529,4589.385,4842.761,4218.959,3715.029,3062.736,2338.964,1613.242,1050.322,589.255,346.2446,69932.12160000003
PARANÁ,f,4101507,Arapongas - PR,4126.816,4085.799,3878.584,4344.784,4843.23,5033.697,5161.579,5005.767,4909.784,4427.444,4287.736,3886.805,3142.204,2545.771,1928.548,1419.894,897.1098,519.579,271.6523,64716.7831
PARANÁ,f,4101606,Arapoti - PR,1075.471,1018.062,978.0192,1052.115,1140.649,1190.625,1014.585,1040.734,984.7339,947.1616,887.9574,801.0427,606.7765,451.2438,359.7273,230.6365,153.9859,87.56821,44.54127,14065.635279999997
PARANÁ,f,4101655,Arapuã - PR,87.37594,87.38841,101.3469,106.1734,107.7901,119.4994,89.96583,108.6682,108.7413,114.1049,134.8825,106.8219,101.8195,78.45682,70.85675,70.12175,38.443,17.53854,11.58843,1661.58357
PARANÁ,f,4101705,Araruna - PR,389.6461,381.6919,385.2695,436.3919,459.5218,560.3932,491.7628,447.52,484.4267,500.9429,513.844,457.0735,363.7476,335.647,236.9096,170.3606,107.1527,56.56226,34.1816,6813.04566
PARANÁ,f,4101804,Araucária - PR,5874.014,5588.693,5010.822,5727.285,6638.638,6503.679,6319.704,6027.542,5460.301,5094.972,4467.158,3877.468,3110.436,2289.455,1427.298,909.5452,522.7025,303.53,165.1063,75318.34899999999
PARANÁ,f,4101853,Ariranha do Ivaí - PR,65.39465,65.42371,69.72646,76.79899,82.90366,72.5993,78.12058,79.33293,71.93672,87.25549,78.9109,92.84347,59.11449,58.95995,51.41957,39.25558,18.68397,18.34562,6.736566,1173.7626060000002
PARANÁ,f,4101903,Assaí - PR,458.9779,470.6902,469.9548,461.6765,483.3949,511.6627,542.7384,587.334,508.84,581.9307,525.4479,494.9384,475.4095,421.4495,327.7831,246.1805,164.007,86.44325,51.72215,7870.581399999999
PARANÁ,f,4102000,Assis Chateaubriand - PR,851.6723,886.0374,974.5672,1039.176,1058.844,1162.199,1094.3,1065.616,1242.644,1242.764,1285.212,1174.867,976.4985,852.884,662.6906,519.231,305.1758,143.8706,93.13524,16631.384639999997
PARANÁ,f,4102109,Astorga - PR,752.2276,767.3623,807.9637,774.0066,868.1804,941.7768,925.0727,881.6227,929.3056,888.3812,966.6327,877.9038,785.404,693.518,509.5341,333.5465,233.7447,133.2845,83.21445,13152.68235
PARANÁ,f,4102208,Atalaia - PR,85.52597,88.35304,99.3969,92.95502,134.1217,139.9216,112.0619,131.0449,149.9046,134.2891,176.5133,141.7574,104.3108,109.4738,85.98569,65.62583,37.68879,22.61846,14.51334,1926.0621399999998
PARANÁ,f,4102307,Balsa Nova - PR,446.5854,432.3733,419.8263,404.2427,506.0313,507.3529,514.6264,450.2527,446.973,435.5422,425.3158,348.4655,316.5166,221.7136,164.1227,111.8792,78.26984,27.85603,22.18112,6280.126590000001
PARANÁ,f,4102406,Bandeirantes - PR,945.6791,937.7482,993.0257,1057.92,1136.198,1200.512,1170.582,1131.387,1043.689,1078.578,1155.326,1125.92,904.3681,808.3219,603.2408,413.1384,278.1657,175.064,96.81363,16255.67753
PARANÁ,f,4102505,Barbosa Ferraz - PR,307.274,318.4347,352.8949,333.5236,359.6753,350.755,375.9995,363.2541,386.0496,428.5982,464.7279,418.2582,353.8695,314.2011,244.2162,173.9828,130.8657,74.26497,44.05837,5794.9036399999995
PARANÁ,f,4102604,Barracão - PR,313.2182,302.3148,296.2561,332.2171,428.922,402.7038,386.8167,418.101,356.048,356.7996,316.7796,344.0753,273.9908,214.4932,146.1933,122.8103,78.50507,38.13403,22.53804,5150.91694
PARANÁ,f,4102703,Barra do Jacaré - PR,63.84387,63.55311,62.04279,85.66128,86.50238,96.83568,103.0815,77.66983,90.8725,87.98343,106.6708,102.94,88.41381,75.28273,55.38468,43.26608,29.89057,12.30071,10.00656,1342.2023100000001
PARANÁ,f,4102752,Bela Vista da Caroba - PR,99.75676,94.3225,111.3666,133.8768,123.5915,112.4462,97.73998,98.94562,109.6,106.4523,140.8552,158.0613,108.4191,96.5348,70.54265,60.29989,30.33283,22.82776,12.31922,1788.2910100000001
PARANÁ,f,4102802,Bela Vista do Paraíso - PR,426.5583,421.8044,453.1227,453.9204,552.9564,554.1505,528.7453,528.5923,519.1151,531.107,578.3037,551.9931,459.4626,403.0989,336.7045,223.0975,175.3792,97.52749,56.48049,7852.11988
PARANÁ,f,4102901,Bituruna - PR,666.6913,620.869,588.6292,613.316,679.2558,601.9211,542.5712,578.1114,590.4941,532.2712,474.4268,421.6672,333.1727,279.1603,185.24,134.441,88.04712,49.45765,21.56232,8001.30539
PARANÁ,f,4103008,Boa Esperança - PR,94.36598,96.93251,121.9737,129.8671,128.3139,124.9824,141.2217,155.6361,150.0884,174.9498,190.5354,174.3364,150.0594,93.59804,85.55047,66.63985,42.34203,21.60973,13.30447,2156.3073799999997
PARANÁ,f,4103024,Boa Esperança do Iguaçu - PR,75.81832,72.49396,74.0884,107.3991,99.49619,95.80979,83.79066,107.2422,80.04841,104.4687,105.8121,72.21105,79.57983,61.54756,35.31419,26.94538,20.78246,13.28395,5.592141,1321.7243909999997
PARANÁ,f,4103040,Boa Ventura de São Roque - PR,240.7825,227.3502,219.7503,249.6407,275.0209,252.3748,220.552,252.998,230.3903,250.6322,173.234,193.726,128.2353,128.625,86.16006,57.29283,36.88,17.43253,11.04203,3252.11965
PARANÁ,f,4103057,Boa Vista da Aparecida - PR,244.4105,239.1935,258.7993,270.2868,260.956,234.895,196.0832,259.0248,280.4218,269.7005,253.8265,229.1001,218.6732,195.1198,137.5365,120.9306,47.69234,35.68143,20.47816,3772.810030000001
PARANÁ,f,4103107,Bocaiúva do Sul - PR,597.254,559.0162,526.6834,563.5801,610.9924,480.2163,478.5333,463.1852,422.9352,420.5948,338.5661,315.8769,271.3392,234.3298,163.9237,100.1136,72.57402,30.8115,20.86072,6671.38644
PARANÁ,f,4103156,Bom Jesus do Sul - PR,102.9593,103.6416,110.7683,108.4485,110.8922,105.1805,88.31785,105.3001,124.4852,116.7551,129.8321,97.37228,114.5035,99.34324,78.13545,60.68728,36.03644,16.27562,10.92791,1719.8624700000003
PARANÁ,f,4103206,Bom Sucesso - PR,235.3735,227.2433,227.2107,257.8433,263.5635,288.2476,267.652,247.3143,233.3423,220.4214,265.6565,220.0181,164.9993,142.4529,109.3529,78.5522,61.90146,36.06958,19.46368,3566.67852
PARANÁ,f,4103222,Bom Sucesso do Sul - PR,84.94301,83.201,96.23286,98.74315,105.5297,132.7943,109.0208,98.55587,107.9944,119.0625,134.3461,115.7318,87.62654,78.06407,69.47664,55.22428,28.53269,15.27823,10.89911,1631.25705
PARANÁ,f,4103305,Borrazópolis - PR,147.4341,153.7653,173.4117,179.9935,202.3243,206.8166,182.9842,206.3996,224.9894,304.7592,261.1338,300.179,228.1923,230.3675,164.7593,124.6868,91.07162,47.02667,31.55514,3461.85003
PARANÁ,f,4103354,Braganey - PR,159.3847,158.6538,179.9068,186.2062,183.1643,186.5796,182.1148,200.0934,176.946,207.1619,206.0602,184.0056,145.0343,113.6485,85.97441,82.68417,42.64642,24.10584,14.10726,2718.4781999999996
PARANÁ,f,4103370,Brasilândia do Sul - PR,72.56183,75.48025,92.25633,94.54664,82.1305,99.90434,94.99129,81.20196,111.446,101.8458,141.7884,106.9402,83.95387,80.97609,52.96038,55.52659,31.27928,12.98941,11.65272,1484.43188
PARANÁ,f,4103404,Cafeara - PR,82.59922,83.21244,71.89598,108.188,90.59344,108.6589,117.1723,95.44164,86.4639,101.7546,119.8299,81.31752,78.14624,55.15221,49.78282,39.34207,27.38149,9.54521,7.453029,1413.9309089999997
PARANÁ,f,4103453,Cafelândia - PR,672.6056,645.7409,589.9346,615.2714,812.5746,798.774,783.1897,734.9472,671.7379,647.1994,642.51,529.5523,376.6084,264.5215,193.916,138.4501,84.70693,43.43432,21.61785,9267.292700000002
PARANÁ,f,4103479,Cafezal do Sul - PR,102.1388,100.7738,104.4208,110.6619,138.7814,142.5734,135.5621,132.0358,145.9478,157.5308,174.2728,146.88,115.4392,124.3942,79.70304,60.22863,53.19911,25.51389,13.05144,2063.1089100000004
PARANÁ,f,4103503,Califórnia - PR,277.4301,277.0214,271.7473,290.095,307.3787,314.0822,311.0027,275.8682,281.5881,263.0426,331.2053,264.1524,228.587,169.4401,159.4011,98.06203,67.51268,34.77517,26.94045,4249.33253
PARANÁ,f,4103602,Cambará - PR,759.1208,767.9644,779.1646,794.9952,862.4334,908.6236,927.424,930.7322,895.5892,892.9971,881.8907,862.0613,715.1959,590.0309,490.7742,337.5411,249.6465,141.031,81.73886,12868.954960000001
PARANÁ,f,4103701,Cambé - PR,3262.037,3219.701,3205.778,3563.242,4060.794,4035.903,4125.149,4094.85,4054.014,3814.032,3825.407,3248.599,2862.235,2372.2,1770.328,1211.797,760.452,455.1648,233.8737,54175.55649999999
PARANÁ,f,4103800,Cambira - PR,226.8089,229.2797,215.8619,251.42,257.2325,264.1827,298.481,266.2491,252.9903,269.9263,277.7555,236.745,239.6369,190.1948,125.9467,91.83981,69.73686,34.22113,21.99654,3820.5056399999994
PARANÁ,f,4103909,Campina da Lagoa - PR,420.1326,427.8507,462.9926,476.393,454.0944,491.8025,455.3377,449.1218,536.8224,521.7615,564.1759,472.913,442.7814,333.9817,280.0778,195.0902,116.6009,68.4258,43.63667,7213.99257
PARANÁ,f,4103958,Campina do Simão - PR,144.483,137.0841,152.6471,166.0746,145.6153,134.6033,115.9634,126.5975,133.9907,150.2663,123.6165,122.2658,99.34323,69.96506,48.77939,34.76894,20.02347,9.463075,5.716916,1941.2676809999998
PARANÁ,f,4104006,Campina Grande do Sul - PR,1817.121,1716.936,1628.206,1622.434,2029.119,1820.235,1748.759,1737.78,1587.798,1442.747,1399.445,1183.573,944.3378,692.6401,429.2355,291.7512,180.1158,95.8756,56.38507,22424.49407
