ibgeID,populacao,beta,gamma,R0
3530607,455820.27139999997,0.3418598396846084,0.19491425687963654,1.7538985867807182
5103403,578994.3792000001,0.3599813628921381,0.16012229427985733,2.2481651572077315
3552809,302777.5241,0.28109564853164787,0.05168973310137376,5.438133100443059
3509007,105128.27541999999,0.22182093031962755,0.04755388177151028,4.664622993038632
1100205,541726.2514000001,0.3162848769003248,0.20000346309660866,1.5813970018486538
1400100,405292.3203,0.4244112455346617,0.19876400777908593,2.135252001994088
4311403,1944.431769,0.2922606787651185,0.1997837565651632,1.4628850903090924
2408003,302819.5541000001,0.416262199368684,0.1917146795183034,2.171258874983241
2609600,374831.75399999996,0.2891891594085799,0.19905726458265138,1.4527937978797278
41,10000.0,0.3098657284692806,0.19996428607857292,1.5496053547658186
